"post_id","post","author"
"1","منتظرينكم في قاعة العرض بمصر الجديدة ابتداء من الثلاثاء 4-8-2020\nوخصومات من 30 الى 55% على جميع المنتجات للاستعلام 0226786399\n\nاو اطلب الاوردر من الموقع Www.SAFWATOYS.com بكود المنتج المكتوب للصورة مع امكانيه التوصيل للبيت والدفع عند الاستلام\n\nلمتابعة قناة التليجرام لمشاهدة صور المنتجات https://t.me/safwatoys2020\nللتواصل واتس اب 01001444798\n\nلمشاهدة وتحميل الكتالوج اضغط هنا\n\nhttps://safwatoys.com/%D9%84%D9%85%D8%B4%D8%A7%D9%87%D8%AF%…\n\nلمشاهدة اكثر من 2000 لعبة من العاب تنمية المهارات اضغط هنا\nhttps://safwatoys.com/%D8%B9%D8%B1%D8%B6-%D9%84%D8%AC%D9%85…","‎الصفوة لتنمية المهارات‎ is with Shaimaa Abdel Kader."
"2","","الصفوة لتنمية المهارات"
"3","مطلوب للعمل بقاعة العرض بمقر الشركه بمنطقة الماظه خريجة رياض اطفال او من لديه الخبره في الوسائل التعليمية و ادوات\nمنتسوري\nلارسال السيره الذاتيه على ٠١٠٠١٤٤٤٧٩٨ واتس اب","‎الصفوة لتنمية المهارات‎ posted a job."
"4","في انتظار تشريفكم جناح الصفوة لتنمية المهارات رقم (B17 )\nبمعرض الاسكندرية الصيفي للكتاب بالازاريطه بأرض كوته\nيوميا من الخميس 1 اكتوبر الى السبت 10 اكتوبر\nللتواصل مع المبيعات 01001444798 واتس اب\n\nوعرض لألعاب تنمية المهارات والبازل والليجو وكروت خورشيد للتخاطب\nوالمجموعات الضمنية والميكانو والعاب الفك والتركيب\nخصم 30% من أول قطعه للافراد و الحضانات و مراكز و اخصائي التخاطب\nوخصم من 40 الى 60 % لاوردرات الجمله و جمله الجمله\n\nاو اطلب الاوردر من الموقع Www.SAFWATOYS.com بكود المنتج المكتوب للصورة مع امكانيه التوصيل للبيت\n\nلمتابعة قناة التليجرام لمشاهدة صور المنتجات https://t.me/safwatoys2020\nللتواصل واتس اب 01001444798\nلمشاهدة وتحميل الكتالوج اضغط هنا\nhttps://cutt.us/ZAhES\nلمشاهدة اكثر من 2000 لعبة من العاب تنمية المهارات اضغط هنا\nhttps://cutt.us/YSwh3","الصفوة لتنمية المهارات"
"5","مطلوب للعمل خريجات رياض اطفال للعمل بمقر الشركه بالماظه مصر الجديدة\nتكون لديهم خبره في العاب تنمية المهارات وادوات مونتسوري\nللتواصل على الوتس اب 01001444798","الصفوة لتنمية المهارات"
"6","مشاركة شركة الصفوة لتنمية المهارات بتوفير الوسائل التعليميه و ادوات تنمية المهارات بمعرض اهلا مدارس 2020 من 20 حتى 27 سبتمبر 2020 بقاعة المؤتمرات يوميا من 9 ص الى 9 م","الصفوة لتنمية المهارات"
"7","الان عرض من الصفوة لتنمية المهارات على ادوات مونتسوري المصري و المستورد\n-----اختار العرض الي يناسبك من 3 عروض مميزه---------\n1- احصل على خصم 30 % على جميع الادوات\n2- اشتري ادوات مونتسوري بقيمة 3000 جنيه و احصل على ادوات بقيمة 2000 جنيه هديه من اختيارك\n3- اشتري ادوات مونتسوري بقيمة 5000 جنيه و احصل على ادوات بقيمة 5000 جنيه هديه من اختيارك\n\n1- المنهج الحسي\n2- منهج الحساب\n3- منهج اللغه\n4- منهج الحياه اليوميه\n5- منهج الجغرافيا و الثقافه و العلوم\n6- مونتسوري من اول سنه\n\nلمشاهدة الادوات https://cutt.us/pEmfA\nلمتابعة قناة التليجرام لمشاهدة صور المنتجات https://t.me/safwatoys2020\nللتواصل واتس اب 01001444798\n\nمونتيسوري هو فكرة تربية الطفل وفق ميوله لتنميته روحيا و فكريا و حركيا عبر مجموعة أنشطة تلبي حاجاته و تنمي إمكانياته داخل مؤسسات متخصصة و طبقا لمواصفات و أهداف تعليمية دقيقة .\n\nو يتجلى أساس هذه الطريقة في توفير وسائل التربية الذاتية في بيئة الطفل، و يشترط فيها أن تكون طبيعية قادرة على إثارة اهتمام الطفل.\n” يساعد النظام الخارجي في بناء النظام الداخلي “و تطبق هذه القاعدة في الفصول من خلال تجهيز أدوات التعليم بحسب المواضيع التعليمية، وتنظيم الأدوات بحسب تتابع تقديمها من السهل إلى الصعب ومن الرمز إلى المجرد.\nو الابتعاد عن تراكم المعلومات و التلقين و الحفظ، لأن الطفل يجب أن يتعرف على العالم من حوله من خلال حواسه.\n\nمنهج يؤكد على ضرورة أن تهتم العملية التربوية بتنمية شخصية الطفل بصورة تكاملية في النواحي النفسية و العقلية و الروحية و الجسدية الحركية، لمساعدته على تطوير قدراته الإبداعية و القدرة على حل المشكلات و تنمية التفكير النقدي وقدرات إدارة الوقت وغير ذلك من الأمور .\n\nالحرص على حرية الأطفال في الاختيار و الحركة و ليس التقليد المباشر .\nمن خلال البيئة المعدة، تتوفر لنا إمكانية التحكم فيما يتعلمه الطفل.\nيتجلى دور المعلم في عدم التدخل و في قيامه بالقيادة نحو التعلم.\nبفضل الأدوات التعليمية يتفاعل الطفل مع المعرفة عن طريق حواسه .\nالمحافظة على اهتمام الطفل بتشجيعه و تزويده بمعلومات حول النقاط الأساسية ليتمكن من معرفة ما يجب عمله.\n\nيمكن تطبيق منهج مونتيسوري التعليمي اعتمادا على أنشطة و تدريبات مختلفة نذكر منها على سبيل المثال :\n– تدريب حاسة اللمس عن طريق ورق الصنفرة مع تنويع سمكه و درجة خشونته .\n– تدريب حاسة السمع عن طريق تمييز الأصوات و النغمات المختلفة مثل أصوات الطيور و الحيوانات .\n– تدريب حاسة التذوق عن طريق تمييز الطعم، الحلو و المر و المالح و الحامض .\n– تدريب حاسة البصر عن طريق تمييز الأشكال و الأطوال والألوان و الأحجام .\n– تدريب الطفل على الاعتماد على نفسه عن طريق استخدام الأدوات التعليمية.\n\n– شمولية منهج مونتيسوري التعليمي : فهو يعلم أكثر من مجرد الأساسيات حيث أنه يطور :\nقدرة الطفل العقلية\nقدرته في السيطرة على الحركة\nاستعمال الحواس ( تطور الملاحظة )\nالتفكير ( تطور الإدراك)\nالعزيمة ( التطور الإرادي)\nوعيه و إدراكه وسيطرته على عواطفه (التطور العاطفي)\nالقدرة على التمييز بين التصرف الحسن والتصرف السيء (التطور الأخلاقي)\nآلية الحصول على الأصدقاء و أن يكون عضواً مساهماً في المجموعة (التطور الاجتماعي)\nاستعمال اللغة (تطور اللغة)","الصفوة لتنمية المهارات"
"8","","الصفوة لتنمية المهارات"
"9","منتظرينكم في قاعة العرض بمصر الجديدة امتداد شارع الثورة بجوار مستشفي الوطني للعيون\nابتداء من الثلاثاء 4-8-2020\nوخصومات من 30 الى 55% على جميع المنتجات للاستعلام 0226786399\nاو اطلب الاوردر من الموقع Www.SAFWATOYS.com بكود المنتج المكتوب للصورة\nمع امكانيه التوصيل للبيت والدفع عند الاستلام\nلمتابعة قناة التليجرام لمشاهدة صور المنتجات https://t.me/safwatoys2020\nللتواصل واتس اب 01001444798\nلمشاهدة وتحميل الكتالوج اضغط هنا\nhttps://safwatoys.com/%D9%84%D9%85%D8%B4%D8%A7%D9%87%D8%AF%…\nلمشاهدة اكثر من 2000 لعبة من العاب تنمية المهارات وادوات مونتسوري اضغط هنا\nhttps://safwatoys.com/%D8%B9%D8%B1%D8%B6-%D9%84%D8%AC%D9%85…","الصفوة لتنمية المهارات"
"10","","الصفوة لتنمية المهارات"
